ACSSF,2014e5,wa,000,0004,0000033,75382,68858,529,474,785,7,1283,3446,529,2917,474,312,0,0,68,0,0,38,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,4,0,0,0,0,0,93,9,73,1,0,37,27,8,0,80,785,0,0,0,427,146,0,0,4,144,0,0,0,0,25,5,9,25,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,72176,962,2722,1173,109,2363,75382,71936,68858,529,474,785,7,1283,3446,529,2917,2785,279,1581,261,30,634,645,16
ACSSF,2014e5,wa,000,0004,0000034,10409,9827,25,110,40,25,34,348,20,328,110,75,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,18,0,0,0,1,17,0,17,40,0,0,0,4,16,0,0,15,5,0,0,0,0,0,0,0,0,0,25,7,7,0,0,0,18,18,0,0,0,0,0,0,0,10135,81,290,103,94,54,10409,10061,9827,25,110,40,25,34,348,20,328,348,56,140,63,0,89,0,0
ACSSF,2014e5,wa,000,0004,0000035,60728,52057,994,1872,903,211,1694,2997,412,2585,1872,1484,9,14,119,0,4,20,12,27,0,10,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,876,16,0,24,0,0,27,0,0,293,37,124,7,63,0,54,0,0,227,903,0,0,12,113,185,0,0,44,322,0,21,0,0,0,0,78,0,128,211,94,89,5,0,0,117,117,0,0,0,0,0,0,0,54896,1549,3532,1286,490,2146,60728,57731,52057,994,1872,903,211,1694,2997,412,2585,2845,502,1486,197,13,647,135,17
ACSSF,2014e5,wa,000,0004,0000036,41241,31041,205,4261,292,72,3555,1815,235,1580,4261,3851,14,6,51,3,0,88,6,3019,3,0,11,3,0,0,42,0,0,0,22,0,0,0,0,0,4,34,0,0,52,0,0,50,0,0,443,46,47,12,15,0,20,0,11,306,292,0,0,0,15,174,0,0,19,14,15,0,0,0,0,3,48,4,0,72,38,6,32,0,0,25,12,13,9,9,0,0,0,0,32746,425,5508,550,187,3815,41241,39426,31041,205,4261,292,72,3555,1815,235,1580,1684,172,1033,195,8,276,94,37
ACSSF,2014e5,wa,000,0004,0000037,20665,18396,84,288,450,31,565,851,33,818,288,243,0,0,33,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,176,0,12,0,5,7,0,0,0,33,450,8,0,49,40,42,0,0,0,15,221,0,0,0,0,15,11,49,0,31,6,0,6,0,0,3,3,0,22,22,0,0,0,0,19220,194,924,582,67,598,20665,19814,18396,84,288,450,31,565,851,33,818,782,81,573,65,0,63,69,0
ACSSF,2014e5,wa,000,0004,0000038,12965,11808,22,465,11,27,74,558,21,537,465,454,0,0,16,0,0,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,28,0,0,0,7,0,352,0,6,0,0,0,6,0,0,5,11,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,27,3,3,0,0,0,24,24,0,0,0,0,0,0,0,12357,130,874,38,42,95,12965,12407,11808,22,465,11,27,74,558,21,537,545,99,387,14,9,36,13,0
ACSSF,2014e5,wa,000,0004,0000039,812689,610781,55651,9264,48641,11235,20858,56259,3511,52748,9264,7190,59,370,479,74,80,394,216,112,11,0,71,0,0,19,71,24,8,0,207,13,0,26,0,38,37,2263,7,9,293,0,0,180,8,10,2111,263,653,74,143,132,296,8,202,956,48641,2318,0,6284,3339,10366,63,38,3775,11967,669,6,132,27,67,786,7000,1485,319,11235,6893,1145,5363,89,296,3888,3021,867,233,233,0,30,191,0,658903,77357,24203,72495,17805,24895,812689,756430,610781,55651,9264,48641,11235,20858,56259,3511,52748,49943,13980,9843,14548,1025,10547,5968,348
ACSSF,2014e5,wa,000,0004,0000040,15847,14685,105,126,220,6,347,358,63,295,126,57,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,42,12,17,0,0,2,15,0,0,40,220,15,0,0,50,42,0,10,67,18,0,0,0,0,4,0,14,0,0,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,15002,184,303,314,29,419,15847,15489,14685,105,126,220,6,347,358,63,295,312,40,151,48,0,73,46,0
ACSSF,2014e5,wa,000,0004,0000041,118364,102704,761,1859,2058,636,6319,4027,622,3405,1859,1559,0,45,18,2,0,23,4,48,10,0,2,4,0,0,0,0,0,22,0,0,0,0,0,2,0,950,0,0,59,0,0,52,13,0,305,8,97,6,28,1,52,10,4,191,2058,178,0,22,381,759,0,9,184,216,0,0,0,31,2,23,121,125,7,636,485,265,182,17,21,121,89,32,21,21,0,0,9,0,106316,1501,3464,3403,1359,6979,118364,114337,102704,761,1859,2058,636,6319,4027,622,3405,3434,481,1205,671,20,1057,555,38
ACSSF,2014e5,wa,000,0004,0000042,11194,10488,63,232,131,26,71,183,11,172,232,212,0,12,17,0,0,40,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,31,0,0,73,0,10,0,10,0,0,0,0,10,131,6,0,0,14,70,0,0,13,5,0,0,0,0,0,0,4,6,13,26,15,13,0,0,2,0,0,0,0,0,0,0,11,0,10663,110,335,160,33,82,11194,11011,10488,63,232,131,26,71,183,11,172,177,40,96,22,7,12,6,0
ACSSF,2014e5,wa,000,0004,0000043,735351,583890,19147,8374,68757,3117,15459,36607,2560,34047,8374,6119,25,204,315,70,45,260,63,239,0,4,29,8,4,0,39,40,16,0,71,0,0,0,0,17,0,2506,0,0,172,24,11,39,45,0,1873,142,1077,123,368,93,448,45,90,946,68757,8126,5,3132,10103,12746,582,1022,3466,11872,1129,22,974,93,416,1002,10901,2248,918,3117,1458,730,701,10,17,1123,428,695,394,394,0,14,128,0,616916,29313,20140,84357,7024,18337,735351,698744,583890,19147,8374,68757,3117,15459,36607,2560,34047,32996,6311,8459,11345,1023,5858,3168,443
